sys_id;sys_entitytype;ProductNumber;ProductName;ProductBrand;ProductSupplier;ProductSynonyms;ProductNameVisma;ProductUsrArtTekst2;ProductPostingTemplateNo;ProductPostingTemplateNoName;ProductArtTypeNo;ProductArtTypeNoName;ProductDiscountGrpArtNo;ProductDiscountGrpArtNoName;ProductSupplArtNo
90138;Product;P72936;Kamera PerfectView 35NAV DOMETIC;17;50000;rygge kamera monitor revers tilhenger henger IR natt Ducato;Kamera PerfectView 35NAV DOMETIC;;;;;;;;
90142;Product;P72139;Kontrollboks PerfectView Switch 300 Dometic;;50000;;Kontrollboks PerfectView Switch 300 Dometic;;;;;;;;
90162;Product;P75029;Radio Sangean sort DAB+ radio Sangean DPR67;;50002;;Radio Sangean sort DAB+ radio Sangean DPR67;;;;;;;;
90172;Product;P74917;TV LED 22''  Oppladbar TV Finlux;26;50002;skjerm bilde tv finlux 12V 230V oppladbar batteri;TV LED 22''  Oppladbar TV Finlux;;;;;;;;
90174;Product;P71720;TV LED 40'' Finlux;26;50002;skjerm bilde tv finlux target 12V 230V;TV LED 40'' Finlux;;;;;;;;
90192;Product;P74315;Caravanstore ZIP XL 280 KUN MARKISE Royal Grey;25;50003;zip markise caravan store caravanstore;Caravanstore ZIP XL 280 KUN MARKISE Royal Grey;;;;;;;;
90194;Product;P74313;Caravanstore ZIP XL 310 KUN MARKISE Royal Grey;25;50003;markise pose awning caravan store fiamma XL ;Caravanstore ZIP XL 310 KUN MARKISE Royal Grey;;;;;;;;
90196;Product;P74311;Caravanstore ZIP XL 360 KUN MARKISE Royal Grey;25;50003;zip markise caravan store caravanstore;Caravanstore ZIP XL 360 KUN MARKISE Royal Grey;;;;;;;;
90198;Product;P71613;Caravanstore ZIP XL 410 KUN MARKISE Royal Grey;25;50003;zip markise caravan store caravanstore;Caravanstore ZIP XL 410 KUN MARKISE Royal Grey;;;;;;;;
90248;Product;P71617;Caravanstore ZIP XL 440 KUN MARKISE Royal Grey;25;50003;zip markise caravan store caravanstore;Caravanstore ZIP XL 440 KUN MARKISE Royal Grey;;;;;;;;
90250;Product;P71620;Caravanstore ZIP XL 500 KUN MARKISE Royal Grey;25;50003;zip markise caravan store caravanstore;Caravanstore ZIP XL 500 KUN MARKISE Royal Grey;;;;;;;;
90252;Product;P71623;Caravanstore ZIP XL 550 KUN MARKISE Royal Grey;25;50003;zip markise caravan store caravanstore;Caravanstore ZIP XL 550 KUN MARKISE Royal Grey;;;;;;;;
90254;Product;P74314;Caravanstore ZIP XL 280 Grey Design KUN TELT (1 del);25;50003;telt vegg side front zip;Caravanstore ZIP XL 280 Grey Design KUN TELT (1 del);;;;;;;;
90256;Product;P74312;Caravanstore ZIP XL 310 Grey Design KUN TELT (1 del);25;50003;telt vegg side front zip;Caravanstore ZIP XL 310 Grey Design KUN TELT (1 del);;;;;;;;
90258;Product;P74309;Caravanstore ZIP XL 360 Grey Design KUN TELT (1 del);25;50003;telt vegg side front zip;Caravanstore ZIP XL 360 Grey Design KUN TELT (1 del);;;;;;;;
90260;Product;P71614;Caravanstore ZIP XL 410 Grey Design KUN TELT (1 del);25;50003;telt vegg side front zip;Caravanstore ZIP XL 410 Grey Design KUN TELT (1 del);;;;;;;;
90262;Product;P71618;Caravanstore ZIP XL 440 Grey Design KUN TELT (1 del);25;50003;telt vegg side front zip;Caravanstore ZIP XL 440 Grey Design KUN TELT (1 del);;;;;;;;
90264;Product;P71621;Caravanstore ZIP XL 500 Grey Design KUN TELT (1 del);25;50003;telt vegg side front zip;Caravanstore ZIP XL 500 Grey Design KUN TELT (1 del);;;;;;;;
90266;Product;P71624;Caravanstore ZIP XL 550 Grey Design KUN TELT (1 del);25;50003;telt vegg side front zip;Caravanstore ZIP XL 550 Grey Design KUN TELT (1 del);;;;;;;;
90272;Product;P71750;Gardin pk 6 stk Smoke FIAMMA;25;50003;;Gardin pk 6 stk Smoke FIAMMA;;;;;;;;
90280;Product;P72609;Reservedel kit takstang/støttebein venstre Fiamma;25;50003;;Reservedel kit takstang/støttebein venstre Fiamma;;;;;;;;
90302;Product;P71630;Feste markise F65 Standard caravan FIAMMA;;50003;;Feste markise F65 Standard caravan FIAMMA;;;;;;;;
90306;Product;P71090;Feste markise F45 AS 450 FIAMMA;;50003;;Feste markise F45 AS 450 FIAMMA;;;;;;;;
90640;Product;P50091;Stangsett stål CAMPION 300 S 800-825;;50004;;Stangsett stål CAMPION 300 S 800-825;;;;;;;;
90642;Product;P50262;Stangsett stål CAMPION 350 V 950-975 Del 2;10;50004;stang sett stenger ramme stang stål fortelt telt;Stangsett stål CAMPION 350 V 950-975 Del 2;;;;;;;;
